StudentID,cohort,cohort term,Marital Status,Adjusted Gross Income,Parent Adjusted Gross Income,Father's Highest Grade Level,Mother's Highest Grade Level,Housing,2012 Loan,2012 Scholarship,2012 Work/Study,2012 Grant,2013 Loan,2013 Scholarship,2013 Work/Study,2013 Grant,2014 Loan,2014 Scholarship,2014 Work/Study,2014 Grant,2015 Loan,2015 Scholarship,2015 Work/Study,2015 Grant,2016 Loan,2016 Scholarship,2016 Work/Study,2016 Grant,2017 Loan,2017 Scholarship,2017 Work/Study,2017 Grant
297957,2011-12,1,Single,0,0,College,High School,On Campus Housing,3500,NA,NA,10714,5500,NA,NA,11095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302040,2011-12,1,Single,18096,0,High School,High School,Off Campus,12500,NA,NA,3500,6250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234532,2011-12,1,Single,12383,0,High School,High School,Off Campus,NA,NA,NA,7432,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303486,2011-12,1,Married,59303,0,High School,Middle School,Off Campus,4750,NA,NA,850,2750,NA,NA,1650,10500,NA,NA,3146,5206,NA,NA,4580,NA,NA,NA,691,8385,NA,NA,2233
304316,2011-12,1,Single,25133,0,Unknown,High School,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302808,2011-12,1,Single,15971,0,Middle School,High School,Off Campus,6500,NA,NA,5550,8000,NA,NA,2888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304266,2011-12,1,Single,0,10551,High School,High School,On Campus Housing,12500,NA,NA,NA,10500,NA,NA,4857,10500,NA,NA,5645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292741,2011-12,1,Single,0,87131,High School,High School,With Parent,10500,NA,NA,NA,12500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296902,2011-12,1,Single,19709,0,Unknown,High School,Off Campus,2500,8271,NA,5550,NA,7871.8,NA,5550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302171,2011-12,1,Single,42557,0,High School,High School,Off Campus,3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303077,2011-12,1,Single,0,984,College,College,Off Campus,NA,NA,NA,2775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273529,2011-12,1,Single,0,18859,High School,High School,With Parent,2750,NA,NA,11588,850,NA,NA,11790,4000,NA,NA,8985,11500,NA,NA,3909,NA,NA,NA,NA,NA,NA,NA,NA
288584,2011-12,1,Separated,0,0,Middle School,Middle School,Off Campus,3000,NA,1000,3670,9500,NA,NA,8670,8500,NA,NA,12001,8148,NA,NA,8858,NA,NA,NA,NA,NA,NA,NA,NA
301468,2011-12,1,Single,23666,0,High School,Middle School,Off Campus,10500,NA,NA,7798,12500,NA,NA,11043,5250,NA,NA,6467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301767,2011-12,1,Single,10551,13000,High School,High School,With Parent,4500,NA,NA,4712,5500,NA,NA,5000,7500,NA,NA,2096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300422,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268001,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304663,2011-12,1,Single,0,71856,High School,High School,With Parent,5500,NA,NA,6418,4500,NA,NA,5892,5250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260813,2011-12,1,Single,11000,21005,High School,High School,Off Campus,5500,NA,NA,5950,4700,NA,NA,4500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304849,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278532,2011-12,1,Single,0,26767,Unknown,Unknown,Off Campus,NA,NA,NA,11588,NA,NA,NA,11040,4970,NA,NA,5738,3750,NA,NA,2040,NA,NA,NA,NA,NA,NA,NA,NA
283573,2011-12,1,Single,0,0,Unknown,College,On Campus Housing,NA,NA,2223,12738,NA,NA,NA,13540,NA,NA,NA,13151,NA,NA,NA,13866,2750,NA,2000,13405,NA,NA,NA,NA
299299,2011-12,1,Single,2065,32942,Middle School,Middle School,With Parent,3500,NA,NA,7862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302704,2011-12,1,Single,0,18650,Unknown,Unknown,With Parent,NA,NA,NA,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302077,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303071,2011-12,1,Single,0,10488,Unknown,College,On Campus Housing,NA,NA,NA,11588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298214,2011-12,1,Single,0,22451,Unknown,High School,With Parent,NA,NA,NA,2082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302900,2011-12,1,Single,2497,17304,High School,High School,With Parent,3500,NA,NA,11588,NA,NA,NA,NA,4500,NA,NA,4721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298985,2011-12,1,Single,0,50034,Middle School,Middle School,With Parent,5500,NA,NA,4906,4500,NA,NA,7020,3250,NA,NA,2364,7500,NA,NA,1380,7500,NA,NA,NA,NA,NA,NA,NA
300865,2011-12,1,Single,5405,106261,High School,High School,With Parent,8228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289804,2011-12,1,Single,0,63123,Middle School,High School,Off Campus,5500,NA,NA,5032,NA,NA,NA,NA,2326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300030,2011-12,1,Single,0,39609,High School,College,Off Campus,5500,NA,NA,5387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300664,2011-12,1,Single,0,53249,High School,College,With Parent,8500,NA,NA,9374,9500,NA,NA,4700,8500,NA,NA,10333,11726,NA,NA,5280,5500,NA,NA,1142,12500,NA,NA,2245
298148,2011-12,1,Single,1549,113682,High School,College,With Parent,10500,NA,NA,NA,13500,NA,NA,NA,7140,NA,NA,9531,11500,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300597,2011-12,1,Single,0,47721,High School,High School,With Parent,3500,NA,NA,4632,3500,NA,NA,3994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303060,2011-12,1,Single,1885,37865,Unknown,Unknown,Off Campus,NA,NA,NA,3000,NA,NA,NA,5550,NA,NA,NA,5595,NA,NA,NA,9634,NA,NA,NA,8339,NA,NA,NA,NA
298316,2011-12,1,Single,0,33933,High School,High School,With Parent,NA,NA,NA,11314,NA,NA,NA,10552,NA,NA,NA,10667.65,NA,NA,2800,12192,NA,NA,NA,NA,NA,NA,NA,NA
301271,2011-12,1,Single,0,21354,High School,High School,Off Campus,NA,NA,NA,9512.3,NA,NA,NA,NA,3500,NA,NA,4234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298406,2011-12,1,Single,0,13737,High School,College,With Parent,NA,NA,3000,11588,NA,NA,1000,5145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283668,2011-12,1,Single,0,40835,Unknown,College,With Parent,NA,10021,NA,2500,NA,10421.8,NA,2900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302547,2011-12,1,Single,0,61246,High School,High School,With Parent,5500,NA,NA,1500,5500,1035,NA,NA,9500,NA,NA,NA,14300,NA,NA,NA,5500,NA,NA,NA,NA,NA,NA,NA
296689,2011-12,1,Single,0,41176,High School,High School,With Parent,NA,NA,2000,6018,NA,NA,2060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296698,2011-12,1,Single,0,28164,High School,Middle School,On Campus Housing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302452,2011-12,1,Single,0,71314,High School,College,With Parent,NA,3434,NA,9612,NA,6421.8,NA,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297388,2011-12,1,Single,1172,29897,High School,High School,With Parent,NA,2307,NA,10714,NA,2381.8,NA,11040,3200,1500,NA,12451,NA,1500,NA,10392,5500,NA,NA,7416,NA,NA,NA,NA
260559,2011-12,1,Married,12124,0,High School,High School,Off Campus,NA,NA,NA,10714,5500,2000,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301787,2011-12,1,Single,0,0,College,High School,Off Campus,NA,NA,NA,NA,7500,NA,NA,10800,NA,NA,NA,8785,NA,NA,NA,9792,NA,NA,NA,463,NA,NA,NA,NA
290265,2011-12,1,Married,49851,0,High School,High School,Off Campus,9500,NA,NA,NA,12500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301745,2011-12,1,Single,9044,11927,Middle School,Middle School,With Parent,NA,NA,NA,10714,NA,NA,NA,12390,4500,NA,NA,11183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292744,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297161,2011-12,1,Single,0,7873,College,College,With Parent,NA,NA,NA,12738,NA,NA,NA,13540,NA,NA,2500,13151,NA,NA,3800,13266,NA,5000,2000,12571,NA,NA,NA,NA
